site,condition,value
Dunbar Street,pre,850
Brockton Point,pre,316.8
Boundary Bay,pre,52.8
White Rock,pre,240
Lighthouse Park,pre,88.8
Dunbar Street,post,1934.4
Brockton Point,post,638.4
Boundary Bay,post,808.8
White Rock,post,465.6
Lighthouse Park,post,408
