trial,size,ingestion
active ,4.9,11
active ,4.8,89
active ,5.5,33
active ,7.4,100
active ,8,100
active ,5.3,89
active ,3.3,67
active ,3.9,0
active ,3.7,100
active ,0.5,67
active ,2.5,0
active ,3.4,0
active ,8.9,0
active ,54,0
active ,56,22
active ,39,11
active ,2,0
active ,2,33
